Using linkage method for clustering
Using RMSD cutoff 0.15 nm
The RMSD ranges from 0.0759797 to 1.09867 nm
Average RMSD is 0.509443
Number of structures for matrix 2001
Energy of the matrix is 137.013.

Found 1447 clusters

Writing middle structure for each cluster to cluster_d0.15/clust_id.pdb
Writing all structures for clusters with more than 50 structures to cluster_d0.15/clust_id.pdb%05d.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |   1       |      0      |      0
  2 |   1       |    100      |    100
  3 |   1       |    200      |    200
  4 |   1       |    300      |    300
  5 |   1       |    400      |    400
  6 |   1       |    500      |    500
  7 |   1       |    600      |    600
  8 |   1       |    700      |    700
  9 |   1       |    800      |    800
 10 |   1       |    900      |    900
 11 |  30  0.177 |   3600 .148 |   1000   1100   1200   1300   1400   1800   2100
    |           |             |   2200   2300   2400   2500   2600   2700   2800
    |           |             |   2900   3000   3100   3200   3300   3400   3500
    |           |             |   3600   3700   3800   3900   4000   4200   4300
    |           |             |   4400   4500
 12 |   2  0.108 |   1500 .108 |   1500   1600
 13 |   1       |   1700      |   1700
 14 |   1       |   1900      |   1900
 15 |   1       |   2000      |   2000
 16 |   1       |   4100      |   4100
 17 |   1       |   4600      |   4600
 18 |   1       |   4700      |   4700
 19 |   1       |   4800      |   4800
 20 |   1       |   4900      |   4900
 21 |   2  0.135 |   5000 .135 |   5000   5100
 22 |   2  0.130 |   5200 .130 |   5200   5300
 23 |   1       |   5400      |   5400
 24 |   1       |   5500      |   5500
 25 |   1       |   5600      |   5600
 26 |   1       |   5700      |   5700
 27 |   1       |   5800      |   5800
 28 |   1       |   5900      |   5900
 29 |   1       |   6000      |   6000
 30 |   1       |   6100      |   6100
 31 |   1       |   6200      |   6200
 32 |   1       |   6300      |   6300
 33 |   1       |   6400      |   6400
 34 |   1       |   6500      |   6500
 35 |   1       |   6600      |   6600
 36 |   1       |   6700      |   6700
 37 |   1       |   6800      |   6800
 38 |   1       |   6900      |   6900
 39 |   1       |   7000      |   7000
 40 |   1       |   7100      |   7100
 41 |   1       |   7200      |   7200
 42 |   1       |   7300      |   7300
 43 |   1       |   7400      |   7400
 44 |   1       |   7500      |   7500
 45 |   1       |   7600      |   7600
 46 |   1       |   7700      |   7700
 47 |   1       |   7800      |   7800
 48 |   1       |   7900      |   7900
 49 |   5  0.179 |   9900 .145 |   8000   9900  10100  10300  10400
 50 |   1       |   8100      |   8100
 51 |   1       |   8200      |   8200
 52 |   1       |   8300      |   8300
 53 |   1       |   8400      |   8400
 54 |   1       |   8500      |   8500
 55 |   1       |   8600      |   8600
 56 |   1       |   8700      |   8700
 57 |   1       |   8800      |   8800
 58 |   1       |   8900      |   8900
 59 |   1       |   9000      |   9000
 60 |   1       |   9100      |   9100
 61 |   1       |   9200      |   9200
 62 |   1       |   9300      |   9300
 63 |   1       |   9400      |   9400
 64 |   1       |   9500      |   9500
 65 |   1       |   9600      |   9600
 66 |   1       |   9700      |   9700
 67 |   1       |   9800      |   9800
 68 |   1       |  10000      |  10000
 69 |   1       |  10200      |  10200
 70 |   1       |  10500      |  10500
 71 |   1       |  10600      |  10600
 72 |   1       |  10700      |  10700
 73 |   1       |  10800      |  10800
 74 |   1       |  10900      |  10900
 75 |   1       |  11000      |  11000
 76 |   1       |  11100      |  11100
 77 |   2  0.135 |  11200 .135 |  11200  11300
 78 |   1       |  11400      |  11400
 79 |   1       |  11500      |  11500
 80 |   1       |  11600      |  11600
 81 |   1       |  11700      |  11700
 82 |   1       |  11800      |  11800
 83 |   1       |  11900      |  11900
 84 |   1       |  12000      |  12000
 85 |   1       |  12100      |  12100
 86 |   1       |  12200      |  12200
 87 |   1       |  12300      |  12300
 88 |   1       |  12400      |  12400
 89 |   1       |  12500      |  12500
 90 |   1       |  12600      |  12600
 91 |   1       |  12700      |  12700
 92 |   1       |  12800      |  12800
 93 |   1       |  12900      |  12900
 94 |   1       |  13000      |  13000
 95 |   1       |  13100      |  13100
 96 |   1       |  13200      |  13200
 97 |   1       |  13300      |  13300
 98 |   1       |  13400      |  13400
 99 |   1       |  13500      |  13500
100 |   1       |  13600      |  13600
101 |   1       |  13700      |  13700
102 |   1       |  13800      |  13800
103 |   1       |  13900      |  13900
104 |   1       |  14000      |  14000
105 |   1       |  14100      |  14100
106 |   1       |  14200      |  14200
107 |   1       |  14300      |  14300
108 |   1       |  14400      |  14400
109 |   1       |  14500      |  14500
110 |   1       |  14600      |  14600
111 |   1       |  14700      |  14700
112 |   1       |  14800      |  14800
113 |   1       |  14900      |  14900
114 |   1       |  15000      |  15000
115 |   1       |  15100      |  15100
116 |   1       |  15200      |  15200
117 |   1       |  15300      |  15300
118 |   2  0.150 |  15400 .150 |  15400  15600
119 |   1       |  15500      |  15500
120 |   1       |  15700      |  15700
121 |   1       |  15800      |  15800
122 |   1       |  15900      |  15900
123 |   1       |  16000      |  16000
124 |   1       |  16100      |  16100
125 |   1       |  16200      |  16200
126 |   1       |  16300      |  16300
127 |   1       |  16400      |  16400
128 |   1       |  16500      |  16500
129 |   1       |  16600      |  16600
130 |   1       |  16700      |  16700
131 |   1       |  16800      |  16800
132 |   1       |  16900      |  16900
133 |   1       |  17000      |  17000
134 |   1       |  17100      |  17100
135 |   1       |  17200      |  17200
136 |   1       |  17300      |  17300
137 |   1       |  17400      |  17400
138 |   1       |  17500      |  17500
139 |   1       |  17600      |  17600
140 |   1       |  17700      |  17700
141 |   1       |  17800      |  17800
142 |   1       |  17900      |  17900
143 |   1       |  18000      |  18000
144 |   1       |  18100      |  18100
145 |   1       |  18200      |  18200
146 |   1       |  18300      |  18300
147 |   2  0.144 |  18400 .144 |  18400  21400
148 |   1       |  18500      |  18500
149 |   1       |  18600      |  18600
150 |   1       |  18700      |  18700
151 |   3  0.161 |  20900 .143 |  18800  19000  20900
152 |   1       |  18900      |  18900
153 |   1       |  19100      |  19100
154 |   1       |  19200      |  19200
155 |   1       |  19300      |  19300
156 |   1       |  19400      |  19400
157 |   2  0.144 |  19500 .144 |  19500  21800
158 |   1       |  19600      |  19600
159 |   1       |  19700      |  19700
160 |   1       |  19800      |  19800
161 |   1       |  19900      |  19900
162 |   1       |  20000      |  20000
163 |   1       |  20100      |  20100
164 |   1       |  20200      |  20200
165 |   1       |  20300      |  20300
166 |   1       |  20400      |  20400
167 |   1       |  20500      |  20500
168 |   1       |  20600      |  20600
169 |   1       |  20700      |  20700
170 |   2  0.144 |  20800 .144 |  20800  22000
171 |   1       |  21000      |  21000
172 |   1       |  21100      |  21100
173 |   1       |  21200      |  21200
174 |   1       |  21300      |  21300
175 |   1       |  21500      |  21500
176 |   1       |  21600      |  21600
177 |   1       |  21700      |  21700
178 |   1       |  21900      |  21900
179 |   3  0.143 |  22200 .140 |  22100  22200  22300
180 |   1       |  22400      |  22400
181 |   1       |  22500      |  22500
182 |   1       |  22600      |  22600
183 |   1       |  22700      |  22700
184 |   1       |  22800      |  22800
185 |   1       |  22900      |  22900
186 |   1       |  23000      |  23000
187 |   1       |  23100      |  23100
188 |   1       |  23200      |  23200
189 |   1       |  23300      |  23300
190 |   1       |  23400      |  23400
191 |   1       |  23500      |  23500
192 |   1       |  23600      |  23600
193 |   2  0.146 |  23700 .146 |  23700  26000
194 |   1       |  23800      |  23800
195 |   1       |  23900      |  23900
196 |   1       |  24000      |  24000
197 |   2  0.124 |  24100 .124 |  24100  25000
198 |   1       |  24200      |  24200
199 |   1       |  24300      |  24300
200 |   1       |  24400      |  24400
201 |   1       |  24500      |  24500
202 |   1       |  24600      |  24600
203 |   1       |  24700      |  24700
204 |   1       |  24800      |  24800
205 |   1       |  24900      |  24900
206 |   1       |  25100      |  25100
207 |   1       |  25200      |  25200
208 |   1       |  25300      |  25300
209 |   1       |  25400      |  25400
210 |   1       |  25500      |  25500
211 |   1       |  25600      |  25600
212 |   1       |  25700      |  25700
213 |   1       |  25800      |  25800
214 |   1       |  25900      |  25900
215 |   1       |  26100      |  26100
216 |   1       |  26200      |  26200
217 |   1       |  26300      |  26300
218 |   1       |  26400      |  26400
219 |   1       |  26500      |  26500
220 |   1       |  26600      |  26600
221 |   1       |  26700      |  26700
222 |   1       |  26800      |  26800
223 |   1       |  26900      |  26900
224 |   1       |  27000      |  27000
225 |   1       |  27100      |  27100
226 |   1       |  27200      |  27200
227 |   1       |  27300      |  27300
228 |   1       |  27400      |  27400
229 |   1       |  27500      |  27500
230 |   1       |  27600      |  27600
231 |   1       |  27700      |  27700
232 |   1       |  27800      |  27800
233 |   1       |  27900      |  27900
234 |   2  0.123 |  28000 .123 |  28000  29000
235 |   1       |  28100      |  28100
236 |   2  0.147 |  28200 .147 |  28200  28500
237 |   1       |  28300      |  28300
238 |   1       |  28400      |  28400
239 |   1       |  28600      |  28600
240 |   2  0.132 |  28700 .132 |  28700 103400
241 |   1       |  28800      |  28800
242 |   1       |  28900      |  28900
243 |   1       |  29100      |  29100
244 |   1       |  29200      |  29200
245 |   1       |  29300      |  29300
246 |   1       |  29400      |  29400
247 |   3  0.154 | 164700 .141 |  29500 164700 165100
248 |   1       |  29600      |  29600
249 |   1       |  29700      |  29700
250 |   7  0.178 |  93000 .163 |  29800  93000  99900 100000 101300 168300 193700
251 |   1       |  29900      |  29900
252 |   1       |  30000      |  30000
253 | 185  0.305 | 101600 .246 |  30100  30800  31000  31100  32200  32500  32600
    |           |             |  40500  42200  48000  49100  49300  49400  62300
    |           |             |  62400  62600  63700  64600  65000  65100  65300
    |           |             |  65400  66000  66100  66300  66600  67100  77900
    |           |             |  78200  78600  78700  78900  79000  79400  79500
    |           |             |  79600  79700  79800  80200  82600  82700  83700
    |           |             |  83900  84000  84300  84500  89000  89600  90500
    |           |             |  90800  91600  92500  92700  92900  93100  93200
    |           |             |  93300  93600  93800  94000  94100  94200  94300
    |           |             |  95000  95700  95800  95900  96000  96400  96500
    |           |             |  97500  97700  97900  98000  98600  98700  98800
    |           |             |  99500  99600 100200 100400 100500 100600 100700
    |           |             | 101400 101500 101600 101800 103600 117000 118200
    |           |             | 119100 119700 119900 120100 135700 135800 136000
    |           |             | 138500 147500 148100 148200 148500 149200 149400
    |           |             | 149900 150200 150400 150800 151100 151200 151400
